Full Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sum_file_path,run_id,input_file_gen_date,scenario,parent_substance,crop_calendar,application_scheme,substance_evaluated,pec_gw,App_ID,Crop,Application Rate,Number of Applications,Interval,Application BBCH,Use BBCH for First or Last,AppDate Crop,Application Type,Injection/Incorporation Depth,Application Frequency
../1_wintercereals_1x25gha_BBCH11_A/7/7.sum,7,05/09/2025,Porto,PXD,Port-Wcereals,App_ID_1,M56,0.465281,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M2,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M3,0.346795,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M11,0.091047,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M52,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M54,0.035998,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M55,1.121707,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/8/8.sum,8,05/09/2025,Sevilla,PXD,Sevi-Wcereals,App_ID_1,M56,0.579005,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M2,0.01396,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M3,2.059006,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
